"word","variant","entry_url","gloss","video_url","match_confidence","notes"
"angry","1","https://bslsignbank.ucl.ac.uk/dictionary/words/angry-1.html","ANGRY","https://bslsignbank.ucl.ac.uk/media/bsl-video/AN/ANGRY.mp4","high","exact keyword match"
"angry","2","https://bslsignbank.ucl.ac.uk/dictionary/words/angry-2.html","LOSE-TEMPER","https://bslsignbank.ucl.ac.uk/media/bsl-video/LO/LOSE-TEMPER.mp4","medium","keyword 'angry'; gloss LOSE-TEMPER (related sign)"
"ask","1","https://bslsignbank.ucl.ac.uk/dictionary/words/ask-1.html","ASK","https://bslsignbank.ucl.ac.uk/media/bsl-video/AS/ASK.mp4","high","exact keyword match"
"baby","1","https://bslsignbank.ucl.ac.uk/dictionary/words/baby-1.html","BABY","https://bslsignbank.ucl.ac.uk/media/bsl-video/BA/BABY.mp4","high","exact keyword match; single variant"
"bad","1","https://bslsignbank.ucl.ac.uk/dictionary/words/bad-1.html","BAD","https://bslsignbank.ucl.ac.uk/media/bsl-video/BA/BAD.mp4","high","exact keyword match"
"bad","2","https://bslsignbank.ucl.ac.uk/dictionary/words/bad-2.html","HORRIBLE","https://bslsignbank.ucl.ac.uk/media/bsl-video/HO/HORRIBLE.mp4","medium","keyword 'bad'; gloss HORRIBLE (intensified sense)"
"brother","1","https://bslsignbank.ucl.ac.uk/dictionary/words/brother-1.html","BROTHER","https://bslsignbank.ucl.ac.uk/media/bsl-video/BR/BROTHER.mp4","high","exact keyword match; single variant"
"drink","1","https://bslsignbank.ucl.ac.uk/dictionary/words/drink-1.html","DRINK","https://bslsignbank.ucl.ac.uk/media/bsl-video/DR/DRINK.mp4","high","exact keyword match; single variant; same video also listed under keyword 'water' (variant 2)"
"eat","1","https://bslsignbank.ucl.ac.uk/dictionary/words/eat-1.html","DESSERT","https://bslsignbank.ucl.ac.uk/media/bsl-video/DE/DESSERT.mp4","medium","keyword 'eat'; gloss DESSERT"
"eat","2","https://bslsignbank.ucl.ac.uk/dictionary/words/eat-2.html","EAT","https://bslsignbank.ucl.ac.uk/media/bsl-video/EA/EAT.mp4","high","exact keyword match; canonical EAT gloss"
